Journal	doi	PubMed_ID_article	cited_cited_count	citing_citing_count	doi_retraction	PubMed_ID_retraction
	10.1111/j.1462-2920.2007.01291.x	17564607	13	6.0	10.1111/1462-2920.12026/full	23819158
	10.1002/vnl.20301	0	4	16.0	10.1002/vnl.21341	0
	10.2337/diabetes.54.11.3089	16249430	10		10.2337/db12-wd10	22997433
	10.1371/journal.pone.0016256	21283593	7	21.0	10.1371/annotation/9081d3ad-e74f-47f1-a722-cf02048a14c5	22970110
	10.1098/rspb.2009.0071	19324751	6	18.0	10.1098/rspb.2012.1861	22915676
	10.1103/PhysRevD.84.084020	10/11/2012	3		10.1103/PhysRevD.86.049905	8/15/2012
	10.1126/science.1104696	15564312	44		10.1126/science.337.6092.290-a	22822129
	10.1016/j.molcel.2011.07.031	21925388	12		10.1016/j.molcel.2012.06.003	22934309
	10.1111/j.1471-4159.2008.05353.x	18363823	17	41.0	10.1111/j.1471-4159.2012.07727.x	22606698
	10.1111/j.1471-4159.2008.05353.x	18363823	17	41.0	10.1111/j.1471-4159.2010.06959.x	18363823
	10.1111/j.1471-4159.2008.05353.x	18363823	17	41.0	10.1111/j.1471-4159.2012.07727.x	22606698
	10.1111/j.1471-4159.2008.05353.x	18363823	17	41.0	10.1111/j.1471-4159.2010.06959.x	18363823
	10.1016/j.mod.2007.08.003	17890064	4		10.1016/j.mod.2011.12.001	22808528
	10.1378/chest.10-1012	20688921	4		10.1378/chest.141.1.284	22215847
	10.1084/jem.20100730	21670203	18	54.0	10.1084/jem.2010073020812r	22084411
	10.1073/pnas.0806674105	19050079	26	28.0	10.1073/pnas.1115170108	21969600
	10.1073/pnas.1010700107	20974934	14	27.0	10.1073/pnas.1111381108	21817064
	10.1021/ac200096b	21446757	20		10.1021/ac201144v	21574658
	10.3109/02713683.2010.545499	21291296	1	13.0	10.3109/02713683.2011.587751	21591868
	10.1021/ja900133m	19199800	14		10.1021/ja201074e	21520973
	10.1016/j.cell.2008.12.021	19203584	28		10.1016/j.cell.2011.03.015	21458674
	10.1111/j.1467-9280.2008.02172.x	18947353	18	1.0	10.1177/0956797611404902	21454725
	10.1016/j.ejca.2010.03.038	20451373	4		10.1016/j.ejca.2010.03.038	21465684
	10.1016/j.imlet.2009.07.011	19660498	1		10.1016/j.imlet.2011.01.014	21500420
	10.1038/nm1491	17057710	111	1.0	10.1038/nm0111-135	21217686
	10.1200/JCO.2007.11.0593	17906199	26		10.1200/JCO.2010.33.7311	21148129
	10.1158/0008-5472.CAN-07-5937	18381456	5		10.1158/0008-5472.CAN-10-3462	21045159
	10.1158/0008-5472.CAN-03-3025	15256470	13		10.1158/0008-5472.CAN-10-3461	21045150
	10.1021/ja903873n	19678640	17		10.1021/ja107251t	20961083
	10.1158/0008-5472.CAN-04-4194	15833829	13		10.1158/0008-5472.CAN-10-2451	20710046
	10.1002/anie.201002045	20602389	3		10.1002/anie.201004790	20712027
	10.1073/pnas.0503877102	16230623	7	27.0	10.1073/pnas.1009071107	20622151
	10.1096/fj.06-6171fje	17023390	5		10.1096/fj.06-6171fjeRET	20515957
	10.1084/jem.20021466	12438431	24	21.0	10.1084/jem.2002146632610r	20368577
	10.1073/pnas.0501420102	16061819	9	33.0	10.1073/pnas.1003319107	20375280
	10.1371/journal.ppat.1000210	19023421	3	33.0	10.1371/annotation/26144e46-0873-48d9-890f-7ae3136a79d4	20305807
	10.1038/ngeo587	7/26/2009	12		10.1038/ngeo780	2/21/2010
	10.1107/S0907444999007064	10393310	1		10.1107/S0907444910000259	20124703
	10.3109/10611860903089768	19863197	1	41.0	10.3109/10611860903509661	20001573
	10.1063/1.480830	2/8/2000	31	32.0	10.1063/1.3237027	10/21/2009
	10.1016/j.cub.2007.05.034	17555966	1		10.1016/j.cub.2009.09.039	19839099
	10.1128/IAI.69.8.4858-4869.2001	11447161	8		10.1128/IAI.00966-09	19767645
	10.1104/pp.011019	11950966	38		10.1104/pp.109.900302	19797431
	10.1073/pnas.0501997102	15968000	23	39.0	10.1073/pnas.0906977106	19590011
	10.1074/jbc.M611728200	5/11/2007	4		10.1074/jbc.A611728200	6/5/2009
	10.1016/j.str.2008.04.010	18611381	7		10.1016/j.str.2011.07.010	21827955
	10.1038/nchembio800	16767085	13		10.1038/nchembio0708-431	18560433
	10.1016/j.jep.2005.01.027	15763381	2		10.1016/j.jep.2007.11.011	18496902
	10.1016/j.jmb.2006.01.087	16527309	12		10.1016/j.jmb.2008.01.071	18286714
	10.1038/nature04836	16738545	9		10.1038/nature06621	18235505
	10.1038/sj.emboj.7600343	15297874	17	35.0	10.1038/sj.emboj.7601879	1797182
	10.1021/bi972113+	9485373	35		10.1021/bi701501k	17929839
	10.1126/science.1071776	12077412	26		10.1126/science.317.5839.748b	17690274
	10.1212/01.WNL.0000096940.92986.02	11/11/2003	16		10.1212/01.wnl.0000281830.66370.5e	7/24/2007
	10.1021/bi050786j	15981993	8		10.1021/bi700744h	17567051
	10.1126/science.293.5536.1793	11546864	136		10.1126/science.314.5807.1875b	17185584
	10.1126/science.287.5458.1660	10698743	30		10.1126/science.314.5806.1681b	17170272
	10.1084/jem.20020881	12438421	19	65.0	10.1084/jem.2002088173106c	17074927
	10.1128/JVI.80.5.2291-2308.2006	16474136	4		10.1128/JVI.01632-06	17005709
